playerID,G,AB,R,H,HR,RBI,SB,BB,SO,seasons,BA,OBP,HR_rate,K_rate,inducted
bennech01,1062,3821,549,978,55,533.0,42.0,478,572.0,15,0.255953938759487,0.3386834147476157,0.014394137660298352,0.14969903166710286,0
bergema01,344,1278,180,339,10,176.0,24.0,52,103.0,4,0.2652582159624413,0.293984962406015,0.00782472613458529,0.08059467918622848,0
bergewa01,1350,5163,809,1550,242,898.0,36.0,435,694.0,11,0.3002130544257215,0.35459092533047515,0.04687197365872555,0.13441797404609723,0
bergmo01,663,1813,150,441,6,206.0,11.0,78,117.0,15,0.24324324324324326,0.2744579587519831,0.003309431880860452,0.06453392167677882,0
berkmla01,1879,6491,1146,1905,366,1234.0,86.0,1201,1300.0,15,0.29348328454783545,0.40379615184607387,0.056385764905253426,0.20027730704051763,0
berrayo01,2120,7555,1175,2150,358,1430.0,30.0,704,414.0,19,0.28457974851091994,0.3455624167574767,0.04738583719391132,0.054798146922567834,1
berrych02,709,2018,196,539,23,256.0,13.0,160,196.0,11,0.26709613478691774,0.3209366391184573,0.011397423191278493,0.09712586719524281,0
berryke01,1383,4136,422,1053,58,343.0,45.0,298,569.0,14,0.2545938104448743,0.3046910239061795,0.01402321083172147,0.1375725338491296,0
bicheda01,1704,6381,934,1906,274,1141.0,152.0,355,1078.0,14,0.29869926343833253,0.33565914489311166,0.04293997805986523,0.16893903776837485,0
bigbeca01,1147,4192,629,1205,17,324.0,182.0,344,161.0,11,0.2874522900763359,0.34149029982363316,0.0040553435114503815,0.03840648854961832,0
biggicr01,2850,10876,1844,3060,291,1175.0,414.0,1160,1753.0,20,0.28135343876425156,0.35061482220006646,0.026756160353070983,0.16118058109599118,1
bishoma01,1338,4494,966,1216,41,379.0,43.0,1153,452.0,12,0.2705829995549622,0.4195147866123605,0.009123275478415665,0.10057854917668002,0
bladera01,767,2415,467,726,50,340.0,33.0,331,310.0,10,0.30062111801242236,0.38492352512745814,0.020703933747412008,0.12836438923395446,0
blairpa01,1947,6042,776,1513,134,620.0,171.0,449,877.0,17,0.2504137702747435,0.30226467416422736,0.022178086726249588,0.14515061238000662,0
blakeca01,1265,4500,644,1186,167,616.0,36.0,445,1037.0,13,0.26355555555555554,0.32982810920121336,0.03711111111111111,0.23044444444444445,0
bluegos01,1867,6440,883,1751,43,848.0,140.0,723,515.0,18,0.2718944099378882,0.3453860114477174,0.006677018633540373,0.07996894409937888,0
bluelu01,1615,5904,1151,1696,44,695.0,151.0,1092,436.0,13,0.2872628726287263,0.3985134362492853,0.007452574525745257,0.07384823848238482,0
boccajo01,551,1462,117,320,26,148.0,3.0,96,246.0,12,0.2188782489740082,0.26700898587933247,0.017783857729138167,0.16826265389876882,0
bodiepi01,1050,3670,393,1011,43,516.0,83.0,312,381.0,9,0.27547683923705724,0.332245102963335,0.011716621253405994,0.10381471389645777,0
boggswa01,2440,9180,1513,3010,118,1014.0,24.0,1412,745.0,18,0.32788671023965144,0.4174848942598187,0.012854030501089325,0.08115468409586056,1
boleyjo01,540,1780,203,478,7,227.0,15.0,130,84.0,6,0.26853932584269663,0.3183246073298429,0.003932584269662922,0.04719101123595506,0
bondsba01,2986,9847,2227,2935,762,1996.0,514.0,2558,1539.0,22,0.29806032294099727,0.44280532043530835,0.07738397481466436,0.15629125622016857,0
